,NT,F,NF,Accuracy,1,2,3,4
0,1,M/4,1,0.733,SepalLengthCm: 1.0,SepalWidthCm: 0.0,PetalLengthCm: 0.0,PetalWidthCm: 0.0
1,1,M/2,2,0.933,PetalWidthCm: 0.503,SepalLengthCm: 0.497,SepalWidthCm: 0.0,PetalLengthCm: 0.0
2,1,3*M/4,3,1.0,PetalWidthCm: 0.555,SepalWidthCm: 0.269,PetalLengthCm: 0.176,SepalLengthCm: 0.0
3,1,"Runif(1,M)",uniform,0.967,PetalWidthCm: 0.725,SepalWidthCm: 0.275,SepalLengthCm: 0.0,PetalLengthCm: 0.0
4,10,M/4,1,1.0,PetalLengthCm: 0.389,PetalWidthCm: 0.324,SepalWidthCm: 0.287,SepalLengthCm: 0.0
5,10,M/2,2,0.867,SepalWidthCm: 0.428,SepalLengthCm: 0.318,PetalWidthCm: 0.159,PetalLengthCm: 0.095
6,10,3*M/4,3,1.0,PetalWidthCm: 0.377,PetalLengthCm: 0.303,SepalWidthCm: 0.181,SepalLengthCm: 0.14
7,10,"Runif(1,M)",uniform,1.0,PetalWidthCm: 0.376,SepalLengthCm: 0.27,PetalLengthCm: 0.244,SepalWidthCm: 0.11
8,25,M/4,1,1.0,PetalLengthCm: 0.365,SepalLengthCm: 0.294,PetalWidthCm: 0.228,SepalWidthCm: 0.112
9,25,M/2,2,0.967,SepalWidthCm: 0.306,SepalLengthCm: 0.285,PetalWidthCm: 0.239,PetalLengthCm: 0.17
10,25,3*M/4,3,1.0,PetalWidthCm: 0.326,PetalLengthCm: 0.287,SepalWidthCm: 0.216,SepalLengthCm: 0.17
11,25,"Runif(1,M)",uniform,1.0,SepalWidthCm: 0.304,PetalWidthCm: 0.283,SepalLengthCm: 0.238,PetalLengthCm: 0.176
12,50,M/4,1,0.9,PetalLengthCm: 0.417,SepalLengthCm: 0.403,SepalWidthCm: 0.115,PetalWidthCm: 0.065
13,50,M/2,2,0.967,PetalWidthCm: 0.314,SepalLengthCm: 0.278,PetalLengthCm: 0.256,SepalWidthCm: 0.152
14,50,3*M/4,3,1.0,PetalWidthCm: 0.395,SepalLengthCm: 0.216,PetalLengthCm: 0.215,SepalWidthCm: 0.174
15,50,"Runif(1,M)",uniform,1.0,SepalLengthCm: 0.277,PetalWidthCm: 0.272,PetalLengthCm: 0.248,SepalWidthCm: 0.203
16,75,M/4,1,0.9,SepalLengthCm: 0.416,PetalLengthCm: 0.336,SepalWidthCm: 0.131,PetalWidthCm: 0.117
17,75,M/2,2,0.967,SepalWidthCm: 0.301,SepalLengthCm: 0.247,PetalWidthCm: 0.239,PetalLengthCm: 0.214
18,75,3*M/4,3,1.0,PetalWidthCm: 0.287,PetalLengthCm: 0.265,SepalLengthCm: 0.24,SepalWidthCm: 0.208
19,75,"Runif(1,M)",uniform,1.0,PetalWidthCm: 0.263,PetalLengthCm: 0.259,SepalWidthCm: 0.24,SepalLengthCm: 0.238
20,100,M/4,1,0.933,PetalLengthCm: 0.403,SepalLengthCm: 0.32,PetalWidthCm: 0.15,SepalWidthCm: 0.127
21,100,M/2,2,0.967,SepalWidthCm: 0.32,SepalLengthCm: 0.301,PetalWidthCm: 0.193,PetalLengthCm: 0.186
22,100,3*M/4,3,1.0,PetalWidthCm: 0.279,PetalLengthCm: 0.268,SepalWidthCm: 0.235,SepalLengthCm: 0.218
23,100,"Runif(1,M)",uniform,1.0,SepalLengthCm: 0.278,PetalWidthCm: 0.262,PetalLengthCm: 0.25,SepalWidthCm: 0.21
